grafo,n,m,heap_ms,k_heap,vetor_ms,k_vetor
grafo_W_1.txt,10000,209957,102.32185000029858,100,2850.8469780004816,100
grafo_W_2.txt,25000,824937,606.8670959997689,100,17859.035100000136,30
grafo_W_3.txt,100000,6099868,17223.780539999716,100,497288.27813998796,5
